# id lon1 lat1 dep1 lon2 lat2 dep2 lon3 lat3 dep3 mean_len_m area_m2 strike dip rake
1.000000 165.780428 -10.574152 -50.643445 165.748329 -10.540670 -50.834434 165.786692 -10.537754 -53.448127 5038.923803 10986527.886461 313.930154 39.249475 69.498429
1.000000 165.845824 -10.638002 -50.743975 165.813113 -10.606518 -50.638431 165.850004 -10.600894 -53.448506 4995.162044 10803260.364763 315.645278 39.749411 70.881990
1.000000 165.878173 -10.668828 -50.896780 165.845824 -10.638002 -50.743975 165.882252 -10.631879 -53.596551 4959.430088 10650177.332055 316.016376 40.027003 71.168969
1.000000 165.976770 -10.726886 -53.906678 165.940079 -10.730435 -51.075824 165.946047 -10.694441 -53.879710 4951.167695 10614824.340526 317.234944 40.884279 72.124167
1.000000 166.062179 -10.829920 -53.393592 166.024994 -10.828900 -50.632385 166.034561 -10.794919 -53.615553 4945.795775 10591792.501458 319.222883 42.065287 73.793454
1.000000 166.079698 -10.899071 -50.189519 166.052451 -10.863840 -50.390478 166.089429 -10.865221 -53.192241 4945.913816 10592370.024378 320.088013 42.499126 74.525526
1.000000 166.132976 -10.970469 -49.931000 166.106564 -10.934578 -50.033113 166.142940 -10.936564 -52.933765 4950.881046 10613666.683084 322.731373 43.217097 76.609486
1.000000 166.283699 -11.163355 -53.000754 166.248947 -11.155695 -49.910249 166.263579 -11.123662 -52.980951 4973.950394 10712432.198501 333.635853 45.072427 84.648283
1.000000 166.855995 -13.425848 -53.567957 166.824891 -13.411161 -50.343135 166.845017 -13.383177 -53.472992 4936.049610 10549608.497587 346.873373 47.137491 95.471831
1.000000 166.876581 -13.511498 -53.507839 166.845382 -13.495006 -50.386130 166.866449 -13.468634 -53.568762 4929.132568 10519405.771723 346.320744 46.805492 95.437346
1.000000 166.896663 -13.597268 -53.329784 166.865301 -13.580908 -50.240978 166.886691 -13.554827 -53.416707 4905.124341 10416260.957029 346.097665 46.398548 95.656831
1.000000 166.927561 -13.725463 -53.195585 166.895894 -13.709833 -50.118413 166.917174 -13.682792 -53.214835 4914.168229 10456276.821962 346.396337 45.654131 96.464364
1.000000 167.216111 -14.598893 -54.508863 167.181258 -14.586167 -51.657014 167.201618 -14.557536 -54.753139 4933.265691 10536551.405415 338.147690 42.986905 94.412482
1.000000 167.192683 -14.624781 -51.387874 167.181258 -14.586167 -51.657014 167.216111 -14.598893 -54.508863 4798.283914 9910369.929795 340.206246 42.083489 96.022038
1.000000 167.309891 -14.980141 -53.829239 167.275368 -14.964966 -51.175528 167.301699 -14.937187 -53.731243 4898.630739 10390183.128466 350.986616 36.986502 106.015103
1.000000 167.282519 -15.006652 -51.238797 167.275368 -14.964966 -51.175528 167.309891 -14.980141 -53.829239 4844.038589 10149507.860266 351.533245 36.815581 106.330967
1.000000 167.681875 -15.763432 -54.259727 167.641014 -15.762374 -52.146432 167.659013 -15.725993 -54.058361 4881.749938 10318973.181969 333.801658 27.685641 91.476865
1.000000 167.717099 -15.843273 -54.188856 167.677136 -15.834035 -52.221434 167.701880 -15.802382 -54.346869 4873.608445 10283928.940046 336.802936 28.191332 94.034839
1.000000 167.689311 -15.871949 -51.978454 167.677136 -15.834035 -52.221434 167.717099 -15.843273 -54.188856 4734.340789 9649250.059290 337.020301 28.124366 94.060859
1.000000 167.768810 -16.054328 -52.872156 167.729879 -16.042238 -50.746719 167.756168 -16.012616 -52.861962 4862.666103 10238051.874440 343.871350 29.371016 99.521003
1.000000 167.757616 -16.126876 -50.932323 167.743444 -16.085111 -50.791029 167.782631 -16.095685 -53.003808 4895.194296 10375683.603087 344.647459 29.668731 99.919612
1.000000 167.960208 -16.631153 -54.271000 167.922884 -16.623416 -51.570204 167.943481 -16.591032 -53.953476 4871.677802 10275392.523495 343.121518 36.005662 97.167135
1.000000 167.936503 -16.660589 -51.685942 167.922884 -16.623416 -51.570204 167.960208 -16.631153 -54.271000 4737.235442 9646633.241194 342.539771 36.161075 96.570843
1.000000 167.987632 -16.757879 -53.537639 167.953910 -16.739410 -51.109632 167.981299 -16.715164 -53.962699 4857.324886 10214332.224939 345.608109 38.017156 98.721373
1.000000 167.960817 -16.781967 -50.663840 167.953910 -16.739410 -51.109632 167.987632 -16.757879 -53.537639 4842.837601 10154698.551494 344.641644 38.478765 97.770082
1.000000 168.051170 -17.009148 -54.280687 168.017851 -16.998228 -51.155623 168.038190 -16.967864 -53.907723 4871.079283 10272985.178462 347.773600 42.947896 99.260394
1.000000 168.198744 -17.551436 -54.087410 168.166427 -17.537684 -51.010642 168.187015 -17.509808 -54.127852 4871.836424 10274772.546439 344.416464 45.377342 95.845110
1.000000 168.227824 -17.677503 -53.248262 168.195918 -17.660688 -50.308440 168.218286 -17.635484 -53.554118 4868.300450 10259999.924904 344.270984 45.494675 95.589295
1.000000 168.349343 -18.000181 -54.883352 168.315498 -17.991752 -51.684441 168.332152 -17.960496 -54.634799 4874.177576 10283969.461921 340.353050 44.824978 92.725642
1.000000 168.330690 -18.029349 -51.803541 168.315498 -17.991752 -51.684441 168.349343 -18.000181 -54.883352 4773.673263 9820322.172469 340.326802 44.833914 92.651696
1.000000 168.344270 -18.068122 -51.657647 168.330690 -18.029349 -51.803541 168.364590 -18.040621 -54.818276 4783.871916 9879207.203441 339.680566 44.354775 92.198705
1.000000 168.372101 -18.150354 -51.077785 168.357592 -18.108573 -51.363931 168.392057 -18.122282 -54.131638 4878.800539 10305694.996648 338.198758 42.986335 91.122864
