File,Mw,Lon,Lat,Depth
tamtam_nuevo.000000.log,7.1195,168.564783,-18.538338,46.12
tamtam_nuevo.000001.log,6.779,168.17826,-17.792578,36.14
tamtam_nuevo.000002.log,6.7792,168.281411,-18.129158,36.04
tamtam_nuevo.000003.log,7.0294,167.951848,-18.067593,16.89
tamtam_nuevo.000004.log,6.7873,168.627816,-18.778979,44.74
tamtam_nuevo.000005.log,6.886,167.97354,-18.143265,17.13
tamtam_nuevo.000006.log,6.8382,168.415037,-17.821862,51.33
tamtam_nuevo.000007.log,6.9456,168.351865,-17.905944,36.36
tamtam_nuevo.000008.log,6.9176,168.025215,-17.893319,24.45
tamtam_nuevo.000009.log,6.8811,168.133429,-18.074057,20.32
tamtam_nuevo.000010.log,7.0373,168.47996,-18.159011,52.41
tamtam_nuevo.000011.log,6.9678,167.932582,-17.52204,24.47
tamtam_nuevo.000012.log,7.006,167.583404,-18.211114,7.64
tamtam_nuevo.000013.log,6.514,168.753888,-18.87793,53.83
tamtam_nuevo.000014.log,7.1207,167.973819,-17.60963,28.27
tamtam_nuevo.000015.log,7.0773,167.924799,-18.305482,14.06
tamtam_nuevo.000016.log,6.8231,167.755676,-17.771952,12.1
tamtam_nuevo.000017.log,6.9476,167.958168,-17.699101,25.43
tamtam_nuevo.000018.log,7.1731,167.989704,-18.198051,17.0
tamtam_nuevo.000019.log,7.0068,168.54894,-18.440828,45.28
tamtam_nuevo.000020.log,6.8563,167.844404,-18.340058,11.52
tamtam_nuevo.000021.log,7.3735,167.829999,-17.757109,17.3
tamtam_nuevo.000022.log,7.1953,167.727094,-18.12171,11.04
tamtam_nuevo.000023.log,6.9954,167.626409,-18.187273,9.03
tamtam_nuevo.000024.log,7.0273,167.832903,-18.031058,14.09
tamtam_nuevo.000025.log,6.8899,168.498569,-18.295653,31.28
tamtam_nuevo.000026.log,7.0671,167.674044,-18.219588,9.62
tamtam_nuevo.000027.log,6.6073,167.742158,-18.288448,9.44
tamtam_nuevo.000028.log,6.8173,167.977127,-17.897876,23.22
tamtam_nuevo.000029.log,6.935,168.311279,-17.770801,46.35
tamtam_nuevo.000030.log,6.8909,167.50314,-18.131238,7.09
tamtam_nuevo.000031.log,6.8775,168.648749,-18.541806,53.58
tamtam_nuevo.000032.log,7.111,167.944094,-18.257416,14.99
tamtam_nuevo.000033.log,6.7909,167.77001,-18.249013,9.51
tamtam_nuevo.000034.log,7.0307,167.632611,-18.271657,8.05
tamtam_nuevo.000035.log,7.185,167.971932,-18.141073,16.47
tamtam_nuevo.000036.log,7.2706,167.893724,-18.207497,13.01
tamtam_nuevo.000037.log,6.8399,168.119428,-17.864112,30.26
tamtam_nuevo.000038.log,6.8839,168.03342,-17.667618,25.4
tamtam_nuevo.000039.log,6.9744,168.008622,-18.199632,17.5
tamtam_nuevo.000040.log,7.1291,167.928556,-18.223284,14.24
tamtam_nuevo.000041.log,6.8682,168.106033,-18.130862,24.54
tamtam_nuevo.000042.log,7.0609,168.047768,-17.731101,30.54
tamtam_nuevo.000043.log,6.9528,167.711645,-18.009224,11.27
tamtam_nuevo.000044.log,7.12,167.924886,-16.446894,54.39
tamtam_nuevo.000045.log,7.0687,168.067713,-18.40387,17.46
tamtam_nuevo.000046.log,6.8813,167.941589,-18.156165,15.33
tamtam_nuevo.000047.log,6.9267,167.882966,-18.134106,13.13
tamtam_nuevo.000048.log,7.18,167.876391,-18.291797,12.04
tamtam_nuevo.000049.log,7.1969,167.864884,-17.813603,17.26
tamtam_nuevo.000050.log,6.9946,167.674869,-18.347575,8.37
tamtam_nuevo.000051.log,7.1054,167.62717,-18.203097,8.64
tamtam_nuevo.000052.log,7.1089,168.200167,-17.727413,38.74
tamtam_nuevo.000053.log,7.19,167.960129,-18.088752,18.12
tamtam_nuevo.000054.log,7.1957,167.93804,-18.410019,13.45
tamtam_nuevo.000055.log,7.0586,167.903585,-18.498368,11.32
tamtam_nuevo.000056.log,7.1657,167.962669,-17.507877,16.67
tamtam_nuevo.000057.log,6.9551,168.019187,-17.689337,23.24
tamtam_nuevo.000058.log,6.9223,168.288808,-17.462172,50.22
tamtam_nuevo.000059.log,7.1452,168.250122,-17.842072,38.56
tamtam_nuevo.000060.log,6.8841,167.78415,-18.250483,10.57
tamtam_nuevo.000061.log,6.889,168.294561,-18.595903,16.96
tamtam_nuevo.000062.log,7.2157,167.965937,-18.156403,16.1
tamtam_nuevo.000063.log,7.2369,167.833208,-17.810923,11.35
tamtam_nuevo.000064.log,6.8849,167.702761,-18.132096,9.84
tamtam_nuevo.000065.log,6.9687,168.371871,-18.053123,44.16
tamtam_nuevo.000066.log,6.9352,168.286353,-18.09667,36.4
tamtam_nuevo.000067.log,7.0726,168.247011,-17.484704,50.1
tamtam_nuevo.000068.log,7.1648,168.387719,-18.03207,45.43
tamtam_nuevo.000069.log,7.1504,168.174976,-18.737764,13.9
tamtam_nuevo.000070.log,6.8796,167.953537,-18.288968,14.11
tamtam_nuevo.000071.log,6.9062,167.755515,-18.124769,11.51
tamtam_nuevo.000072.log,6.9512,168.314474,-18.029204,35.62
tamtam_nuevo.000073.log,7.1463,168.197631,-17.046565,54.41
tamtam_nuevo.000074.log,6.8931,167.733993,-18.42149,9.03
tamtam_nuevo.000075.log,7.1836,168.035198,-18.379908,16.65
tamtam_nuevo.000076.log,6.9953,168.345307,-18.056317,43.66
tamtam_nuevo.000077.log,7.1779,167.62104,-18.095059,8.32
tamtam_nuevo.000078.log,7.1846,168.355373,-17.714316,54.16
tamtam_nuevo.000079.log,7.0105,168.832446,-19.025183,55.23
tamtam_nuevo.000080.log,7.0339,168.225452,-17.222854,53.84
tamtam_nuevo.000081.log,7.1098,168.309131,-17.565027,46.12
